,0_q70,0_q50,0_q30,0_q10,0_q05,1_q70,1_q50,1_q30,1_q10,1_q05,2_q70,2_q50,2_q30,2_q10,2_q05,3_q70,3_q50,3_q30,3_q10,3_q05,4_q70,4_q50,4_q30,4_q10,4_q05
1482,5.0659425258636475,5.938354134559631,7.2647645473480225,10.6709463596344,13.328384399414062,5.059574842453003,5.938861131668091,7.2362823486328125,10.644709587097168,13.30420470237732,5.065646052360535,5.931851148605347,7.243153095245361,10.685657262802124,13.365345239639282,5.058104157447815,5.949961423873901,7.242382526397705,10.629886865615845,13.273960828781128,5.057915687561035,5.94276487827301,7.236035585403442,10.637484312057495,13.280752420425415
1483,5.068621754646301,5.941681981086731,7.269115090370178,10.677477836608887,13.33704662322998,5.062151193618774,5.942185044288635,7.240469217300415,10.651051044464111,13.312916994094849,5.068233966827393,5.935151815414429,7.247317910194397,10.691979885101318,13.37390398979187,5.0607311725616455,5.953248739242554,7.246609330177307,10.636201858520508,13.282504320144653,5.060563445091248,5.946018934249878,7.240211844444275,10.643926620483398,13.28944182395935
1484,5.071304678916931,5.945013523101807,7.273470163345337,10.684015274047852,13.34571647644043,5.064731955528259,5.945512413978577,7.244660496711731,10.657398462295532,13.321638822555542,5.070825219154358,5.938456416130066,7.251485824584961,10.698308229446411,13.382472038269043,5.063361883163452,5.956538438796997,7.250840187072754,10.642520904541016,13.291056394577026,5.063215613365173,5.949276685714722,7.244392037391663,10.65037488937378,13.29814100265503
1485,5.0739898681640625,5.9483482837677,7.277827143669128,10.690556287765503,13.354389905929565,5.067314386367798,5.948842644691467,7.24885368347168,10.66374921798706,13.330363273620605,5.073417544364929,5.941763997077942,7.255656480789185,10.704639196395874,13.391041994094849,5.065995097160339,5.959829807281494,7.25507390499115,10.648844480514526,13.299613952636719,5.065869331359863,5.952537536621094,7.248575210571289,10.656827211380005,13.306845664978027
1486,5.076676726341248,5.951686978340149,7.282188057899475,10.697102785110474,13.363069534301758,5.069898843765259,5.952176332473755,7.253051161766052,10.670104265213013,13.339095830917358,5.07601273059845,5.945075988769531,7.25983202457428,10.710976839065552,13.39962100982666,5.068630695343018,5.963123917579651,7.2593114376068115,10.65517258644104,13.308178186416626,5.068524599075317,5.955801486968994,7.2527629137039185,10.663284301757812,13.315559387207031
1487,5.079367637634277,5.955030560493469,7.286553740501404,10.703655481338501,13.371758460998535,5.072488188743591,5.955514430999756,7.2572526931762695,10.676465272903442,13.3478364944458,5.078611493110657,5.9483911991119385,7.264010190963745,10.717318058013916,13.408206224441528,5.07127058506012,5.966419816017151,7.263553023338318,10.661505937576294,13.316751480102539,5.071184039115906,5.95906925201416,7.256954669952393,10.669747114181519,13.32428240776062
1488,5.082061052322388,5.958377361297607,7.290922164916992,10.710212707519531,13.380453824996948,5.075079441070557,5.958855867385864,7.261457800865173,10.682830333709717,13.35658574104309,5.081212282180786,5.95171046257019,7.268192529678345,10.723665237426758,13.416799306869507,5.073912858963013,5.969718813896179,7.267798662185669,10.667845010757446,13.325333833694458,5.073845624923706,5.962340474128723,7.261150479316711,10.676214456558228,13.333013534545898
1489,5.084756970405579,5.961729526519775,7.2952961921691895,10.716777563095093,13.389155626296997,5.077674150466919,5.962202429771423,7.265668749809265,10.689203023910522,13.36534309387207,5.083815336227417,5.9550347328186035,7.272380113601685,10.730018615722656,13.42539930343628,5.076558709144592,5.973021149635315,7.272049784660339,10.674190759658813,13.333923816680908,5.076509714126587,5.965616703033447,7.26535177230835,10.68268895149231,13.341753721237183
1490,5.0874550342559814,5.965084433555603,7.299672245979309,10.723346471786499,13.397863388061523,5.080270409584045,5.965551257133484,7.269881010055542,10.695578813552856,13.374104738235474,5.08642053604126,5.958361268043518,7.276570439338684,10.736377239227295,13.434005737304688,5.079206824302673,5.976324677467346,7.276303172111511,10.68053936958313,13.342519521713257,5.079176187515259,5.968895435333252,7.269555687904358,10.689167261123657,13.350502014160156
1491,5.0901559591293335,5.968444228172302,7.304053425788879,10.729921817779541,13.406580209732056,5.0828704833984375,5.968904495239258,7.274098634719849,10.701961040496826,13.3828763961792,5.089028596878052,5.961692690849304,7.280764698982239,10.742740392684937,13.442619562149048,5.081858515739441,5.979631066322327,7.280560612678528,10.686894178390503,13.35112452507019,5.081845283508301,5.972178101539612,7.273764491081238,10.695651531219482,13.359259366989136
